State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
USA,,1/17/2020,Public Health Screening to Begin at 3 U.S. Airports for 2019 Novel Coronavirus,government,movement restriction,,am50,https://www.cdc.gov/media/releases/2020/p0117-coronavirus-screening.html
USA,,1/31/2020,"January 31, 2020—HHS Secretary Azar Declares Public Health Emergency for the United States.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,1/31/2020,The White House announced that it would ban entry for most foreign nationals who had traveled to China within the last 14 days.,government,movement restriction,restriction on entry to USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
USA,,2/2/2020,"February 2, 2020—Department of Homeland Security directed all flights from China and all passengers who have traveled to China within the last 14 days to be routed through one of eight U.S. airports, with three airports added on February 3.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/2/2020,"February 2, 2020—State Department issued a travel advisory for China",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/4/2020,"February 4, 2020—FDA issued an emergency use authorization to enable use of CDC’s diagnostic test, permitting its use by certified state and local public health laboratories across the United States and abroad.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/28/2020,"February 28, 2020—CDC updated its guidance on testing and evaluation of suspected cases, expanding the criteria for who should be tested.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/29/2020,President Donald Trump announced additional travel restrictions involving Iran and increased warnings about travel to Italy and South Korea.,government,movement restriction,restriction in travel outside of USA,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154342
USA,,3/3/2020,"The CDC issues new guidance that allows anyone to be tested for the virus without restriction. Previously, only those who had traveled to an outbreak area, who had close contact with people diagnosed with COVID-19, or those with severe symptoms, could get tested.",government,other,lifts restrictions for testing,BR30,https://abcnews.go.com/Health/timeline-coronavirus-started/story?id=69435165
USA,,3/6/2020,"Trump signed an $8.3 billion emergency spending package to combat the coronavirus outbreak, as the number of global cases hit 100,000.",government,other,spending bill,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154343
USA,,3/11/2020,"March 11, 2020—The Department of Defense issued restrictions on foreign travel for DoD components.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/11/2020,"Trump announced a new restriction on many foreign travelers from 26 countries in Europe, except for Ireland and the United Kingdom, for the next 30 days.",government,movement restriction,restriction in travel outside of USA,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154344
USA,,3/13/2020,"March 13, 2020—The Department of Defense issued restrictions on domestic travel for DoD components.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/13/2020,Trump declared a national state of emergency that could free up $50 billion to help fight the pandemic.,government,state of emergency,,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154345
USA,,3/15/2020,The White House announced that the European travel ban would be extended to include the U.K. and Ireland.,government,movement restriction,restriction in travel outside of USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154346
USA,,3/15/2020,"The Centers for Disease Control and Prevention released guidelines recommending ""that for the next 8 weeks, organizers (whether groups or individuals) cancel or postpone in-person events that consist of 50 people or more throughout the United States.""",government,events cancelled,recommendation from CDC,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154347
USA,,3/16/2020,"President Trump advised all Americans to avoid gatherings of 10 or more people, to avoid going to bars and restaurants and to halt discretionary travel. The guidelines, from the administration’s coronavirus task force, will remain in effect for 15 days.",government,events cancelled/movement restriciton,,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154348
USA,,3/18/2020,The Trump administration suspended refugee admissions until April 6 due to the coronavirus pandemic.,government,movement restriction,suspended refugee admissions,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154349
USA,,3/18/2020,"President Trump signed a coronavirus aid bill into law. The Families First Coronavirus Response Act would provide free coronavirus testing and ensure paid emergency leave for those infected or caring for a family member with the illness, while also providing additional Medicaid funding, food assistance and unemployment benefits.",government,new public services,bill signed into law,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154350
USA,,3/18/2020,President Donald Trump announced Wednesday that his administration would be “temporarily closing” the northern border of the United States with Canada to “non-essential traffic.”,government,movement restriction,restriction in travel outside of USA,am50,https://www.pbs.org/newshour/politics/after-closures-at-u-s-canada-border-trump-may-halt-nonessential-travel-at-southern-border
USA,,3/19/2020,"The U.S. State Department raised the global travel advisory to Level 4: Do Not Travel, warning Americans against traveling internationally and for those abroad to consider returning immediately.",government,movement restriction,restriction in travel outside of USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154351
USA,,3/20/2020,"March 20, 2020 – President Trump Approves Major Disaster Declaration for New York.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/20/2020,The U.S. announced plans to close the border with Mexico to all “nonessential travel.” Acting Homeland Security Secretary Chad Wolf said all immigrants who lack proper entry documentation will be turned away.,government,movement restriction,Border closed,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154352
