,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
67092,US,United States,,,2020-02-15,6.0,2.0,15.0,3.0,2.0,-1.0
67093,US,United States,,,2020-02-16,7.0,1.0,16.0,2.0,0.0,-1.0
67094,US,United States,,,2020-02-17,6.0,0.0,28.0,-9.0,-24.0,5.0
67095,US,United States,,,2020-02-18,0.0,-1.0,6.0,1.0,0.0,1.0
67096,US,United States,,,2020-02-19,2.0,0.0,8.0,1.0,1.0,0.0
67097,US,United States,,,2020-02-20,1.0,0.0,4.0,0.0,0.0,1.0
67098,US,United States,,,2020-02-21,2.0,-2.0,4.0,1.0,0.0,0.0
67099,US,United States,,,2020-02-22,7.0,3.0,23.0,5.0,4.0,-1.0
67100,US,United States,,,2020-02-23,7.0,3.0,23.0,5.0,2.0,-1.0
67101,US,United States,,,2020-02-24,2.0,1.0,9.0,1.0,3.0,0.0
67102,US,United States,,,2020-02-25,4.0,1.0,9.0,2.0,2.0,0.0
67103,US,United States,,,2020-02-26,7.0,2.0,5.0,3.0,2.0,-1.0
67104,US,United States,,,2020-02-27,8.0,3.0,12.0,4.0,2.0,0.0
67105,US,United States,,,2020-02-28,8.0,3.0,10.0,5.0,2.0,-1.0
67106,US,United States,,,2020-02-29,12.0,7.0,21.0,7.0,4.0,-2.0
67107,US,United States,,,2020-03-01,13.0,9.0,18.0,7.0,3.0,-1.0
67108,US,United States,,,2020-03-02,7.0,6.0,10.0,2.0,3.0,-1.0
67109,US,United States,,,2020-03-03,11.0,10.0,20.0,3.0,2.0,-1.0
67110,US,United States,,,2020-03-04,8.0,6.0,17.0,2.0,3.0,-1.0
67111,US,United States,,,2020-03-05,8.0,7.0,21.0,2.0,3.0,-1.0
67112,US,United States,,,2020-03-06,5.0,3.0,12.0,2.0,2.0,-1.0
67113,US,United States,,,2020-03-07,10.0,8.0,29.0,7.0,5.0,-1.0
67114,US,United States,,,2020-03-08,10.0,7.0,40.0,5.0,2.0,-1.0
67115,US,United States,,,2020-03-09,6.0,6.0,31.0,-1.0,0.0,0.0
67116,US,United States,,,2020-03-10,6.0,7.0,18.0,-3.0,-2.0,1.0
67117,US,United States,,,2020-03-11,8.0,10.0,26.0,-2.0,-1.0,0.0
67118,US,United States,,,2020-03-12,6.0,23.0,19.0,-6.0,-3.0,1.0
67119,US,United States,,,2020-03-13,2.0,26.0,4.0,-10.0,-7.0,3.0
67120,US,United States,,,2020-03-14,-6.0,18.0,3.0,-10.0,-1.0,3.0
67121,US,United States,,,2020-03-15,-9.0,12.0,5.0,-13.0,-7.0,3.0
67122,US,United States,,,2020-03-16,-8.0,21.0,-1.0,-22.0,-20.0,8.0
67123,US,United States,,,2020-03-17,-18.0,14.0,8.0,-26.0,-27.0,11.0
67124,US,United States,,,2020-03-18,-24.0,8.0,6.0,-30.0,-31.0,13.0
67125,US,United States,,,2020-03-19,-28.0,7.0,2.0,-36.0,-33.0,15.0
67126,US,United States,,,2020-03-20,-32.0,5.0,-2.0,-37.0,-36.0,16.0
67127,US,United States,,,2020-03-21,-40.0,-2.0,-3.0,-36.0,-24.0,12.0
67128,US,United States,,,2020-03-22,-44.0,-13.0,-12.0,-44.0,-31.0,11.0
67129,US,United States,,,2020-03-23,-38.0,-10.0,-23.0,-47.0,-41.0,17.0
67130,US,United States,,,2020-03-24,-39.0,-12.0,-10.0,-46.0,-45.0,19.0
67131,US,United States,,,2020-03-25,-40.0,-15.0,-7.0,-47.0,-46.0,19.0
67132,US,United States,,,2020-03-26,-40.0,-14.0,3.0,-48.0,-47.0,20.0
67133,US,United States,,,2020-03-27,-42.0,-16.0,-7.0,-49.0,-46.0,21.0
67134,US,United States,,,2020-03-28,-48.0,-19.0,-25.0,-49.0,-34.0,15.0
67135,US,United States,,,2020-03-29,-47.0,-22.0,-19.0,-51.0,-38.0,12.0
67136,US,United States,,,2020-03-30,-40.0,-18.0,-15.0,-50.0,-48.0,19.0
67137,US,United States,,,2020-03-31,-40.0,-16.0,-16.0,-49.0,-49.0,20.0
67138,US,United States,,,2020-04-01,-37.0,-11.0,-7.0,-48.0,-49.0,20.0
67139,US,United States,,,2020-04-02,-40.0,-11.0,-9.0,-51.0,-50.0,21.0
67140,US,United States,,,2020-04-03,-42.0,-12.0,-21.0,-51.0,-50.0,22.0
67141,US,United States,,,2020-04-04,-48.0,-15.0,-24.0,-50.0,-37.0,15.0
67142,US,United States,,,2020-04-05,-49.0,-20.0,-20.0,-54.0,-40.0,13.0
67143,US,United States,,,2020-04-06,-42.0,-16.0,-10.0,-52.0,-50.0,20.0
67144,US,United States,,,2020-04-07,-42.0,-14.0,-2.0,-51.0,-51.0,21.0
67145,US,United States,,,2020-04-08,-42.0,-15.0,-6.0,-51.0,-51.0,21.0
67146,US,United States,,,2020-04-09,-43.0,-13.0,-21.0,-54.0,-52.0,22.0
67147,US,United States,,,2020-04-10,-43.0,-13.0,-21.0,-54.0,-56.0,24.0
67148,US,United States,,,2020-04-11,-45.0,-7.0,-16.0,-49.0,-38.0,14.0
